cliente_id,localidad,fecha_registro,nombre_completo,pais
101,East Scottshire,2024-08-31,Michael Kelly,España
102,Jasonville,2023-10-04,Jacob Baker,España
103,North Valerie,2024-12-16,Stephanie Williams,España
104,Michaelton,2023-12-12,Richard Myers,España
105,Port Ryan,2024-09-25,Lucas Ruiz,España
106,Victoriafort,2024-11-03,Alexander Baker,España
107,Millsview,2023-08-26,Thomas Lowery,España
108,New Jeffreyfort,2024-05-26,Troy Sanchez,España
109,South Adamview,2024-12-14,Connie Hill,España
110,Tylerfurt,2023-09-05,William Johnson,España
111,Rachelborough,2025-06-09,Levi Everett,España
112,Lake Charlesbury,2024-05-27,Travis Romero,España
113,South Melissa,2024-01-30,Andrew Weber,España
114,Nelsonton,2024-01-23,Troy Mitchell,España
115,New Vickiechester,2023-07-02,Omar Ramirez,España
116,Donaldborough,2025-03-29,Andrew Stevens,España
117,South Sara,2023-06-26,Jennifer Steele,España
118,Cummingsfort,2025-01-18,Jennifer Robinson,España
119,Johnside,2023-12-01,Robert Scott,España
120,Port Corychester,2025-03-12,Melinda Holder,España
121,Penaland,2024-02-07,Peggy Perkins,España
122,Brownchester,2024-11-10,Brian Lewis,España
123,Vasquezport,2025-03-07,Tanya Thomas,España
124,Castanedaberg,2024-02-01,Hunter Young,España
125,Wendyshire,2024-10-20,Jonathan Ramsey,España
126,New Austinstad,2024-12-08,Kristen Vance,España
127,Lake Jerry,2024-12-16,Julia Buckley,España
128,East Michelle,2025-02-28,Eric Hinton,España
129,Singletonville,2025-03-23,Manuel Ross,España
130,North Nicole,2023-07-31,Jesse Brewer,España
131,Alejandroshire,2023-06-29,Todd Wagner,España
132,Laceychester,2025-06-11,Troy Deleon,España
133,Victorbury,2025-05-21,Kyle Wilcox,España
134,Mariaville,2024-01-25,Michael Holland,España
135,South Juliaville,2024-01-08,Christine Rojas,España
136,Malloryton,2024-09-20,Amy George,España
137,East Jacobchester,2025-03-14,Yvonne Russell,España
138,Lake Kaylahaven,2023-08-19,Shelby Nichols,España
139,North Marcus,2025-03-22,Steven Schneider,España
140,Denisestad,2024-03-25,Michael Ballard,España
141,Jacquelineville,2024-02-09,Angela Hansen,España
142,New Jeanne,2024-11-11,Jeffrey Hampton,España
143,North Karenshire,2024-01-04,Jennifer Austin,España
144,Bakermouth,2024-08-10,Donald Oneill,España
145,Anthonymouth,2024-10-18,Jeremy Smith,España
146,Lake Leonard,2024-07-29,John Bush,España
147,West Samuel,2023-07-23,Jay Sanchez,España
148,Leonborough,2025-01-25,Omar Berger,España
149,Russellborough,2024-12-19,Laurie Nolan,España
150,Lake Rachelfurt,2023-07-21,Andrew Woods,España
151,Bendermouth,2025-02-04,Dustin Wood,España
152,East Joshua,2025-01-02,Kimberly Wallace,España
153,Gibsonstad,2025-01-04,Steven Joyce,España
154,North Debramouth,2023-11-22,Nathan Hanson,España
155,West Brendanview,2024-10-21,Ralph Meza,España
156,Lake Jordanside,2024-02-09,Katherine Johnson,España
157,Lake Rogerport,2025-05-15,Amanda Kelley,España
158,Jamesberg,2024-09-30,Thomas Garcia,España
159,Lake Chelsea,2024-02-18,Jeffrey Frye,España
160,North Gloria,2025-05-20,Daniel Bright,España
161,Markfurt,2024-07-17,Sergio Moreno,España
162,Noahfort,2024-11-14,Margaret Tran,España
163,Andersonhaven,2025-06-14,Sarah Long,España
164,Michaelfurt,2024-04-07,Rachel Rice,España
165,New Jeffreychester,2023-08-06,Kimberly Daniel,España
166,Jessicamouth,2024-06-12,Anthony Sexton,España
167,Brendanton,2024-09-02,Terri Lopez,España
168,New Angelaton,2025-02-13,Regina Lee,España
169,Port Christopher,2024-11-07,Cindy Martinez,España
170,Christineton,2024-01-27,Daniel Maynard,España
171,East Jessebury,2023-09-17,Alexander Paul,España
172,East Jenniferstad,2024-12-31,Colleen Peterson,España
173,Brianbury,2025-05-22,Teresa Fletcher,España
174,East Samuel,2023-06-20,Jennifer Henderson,España
175,Ramirezborough,2024-01-12,Pamela Bernard,España
176,Jamiestad,2024-02-20,Pamela Davis,España
177,South Sarahhaven,2023-07-02,Robert Pena,España
178,Heidiville,2024-05-01,Richard Long,España
179,Rodriguezberg,2023-11-09,Carl Reyes,España
180,Port Tammy,2023-08-09,Cole Stanton,España
181,East Brianfort,2025-04-15,Melissa Matthews,España
182,Lake Shawn,2023-08-13,Michelle Cox,España
183,West Alicia,2023-11-08,Edward Smith,España
184,Garciabury,2025-03-11,Jeff Byrd,España
185,Hurleytown,2024-12-05,Robin Hoffman,España
186,Bellmouth,2024-11-28,Sheri Jensen,España
187,Melvinburgh,2024-02-24,Sara Rodriguez,España
188,Susanfurt,2023-12-24,Russell King,España
189,New Ashley,2023-08-06,Frank Brown,España
190,Murphyside,2023-11-06,Mark White,España
191,Lake Robinstad,2024-10-17,Melanie Contreras,España
192,Garyshire,2025-03-05,Mary Rodriguez,España
193,Lake Davidport,2024-06-19,Kyle Bishop,España
194,Jeffreyberg,2024-04-20,Christopher Palmer,España
195,Dudleychester,2025-04-13,Matthew Simmons,España
196,New Matthewhaven,2025-06-10,Peter Kelly,España
197,Port James,2023-09-27,William Espinoza,España
198,Lake Julia,2024-09-02,Beth Bauer,España
199,Lake Coreyfort,2023-09-22,Ashley Gonzales,España
200,North Emilymouth,2024-09-29,Andrea Cook,España
